 number=26, yearStr='1529', year=1529, x=1377, y=1321, name='026 - Hol 152', artist='Berthold von der Heyde (nachweisbar in Braunschweig 1490-1532)', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk	Bibel	x	x	Holz'
 number=27, yearStr='1530', year=1530, x=1859, y=770, name='027 - GG 479', artist='Giovanni Battista di Jacopo, gen. Rosso Fiorentino (1494-1540)', tags='Italien	Manierismus	Malerei	Akt	x	Tod	Holz'
 number=28, yearStr='1533', year=1533, x=1748, y=670, name='028 - GG 18', artist='Hans Holbein d. J. (1497/98-1543)', tags='Deutschland; Braunschweig	Renaissance	Malerei	Portrait	Farbe	x	Holz'
 number=29, yearStr='1537', year=1537, x=1760, y=477, name='029 - GG 25', artist='Lucas Cranach d. Ä. (1472-1553)', tags='Deutschland	Renaissance	Malerei	Mythologie	x	Liebe; Moral	Holz'
 number=30, yearStr='1535', year=1535, x=1939, y=479, name='030 - GG 164', artist='Braunschweiger Monogrammist (tätig 2. Viertel 16. Jahrhundert)', tags='Niederlande	Renaissance	Malerei	Genre	x	Liebe; Moral	Holz'
 number=31, yearStr='1560', year=1560, x=0, y=0, name='031 - KK 2070', artist='Pieter Bruegel d. Ä. (ca. 1525-1569)', tags='Niederlande	Renaissance	Graphik; Druckgraphik	Landschaft	x	Freizeit	x'
 number=32, yearStr='1547', year=1547, x=1951, y=625, name='032 - GG 863', artist='Ludger tom Ring d. J. (1522-1584)', tags='Deutschland	Renaissance	Malerei	Portrait; Selbstportrait	x	x	Holz'
 number=33, yearStr='1550', year=1550, x=1579, y=891, name='033 - Maj 648', artist='Werkstatt der Fontana', tags='Italien	Renaissance	Kunsthandwerk; Keramik	Akt; Mythologie	Farbe	Liebe	Majolika'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 118_a', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 118_b', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 119_21_a', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 119_21_b', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 120_5_a', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 120_5_b', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 77_34_a', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=34, yearStr='1560', year=1560, x=1929, y=770, name='034 - 77_34_b', artist='Giovanni da Cavino (1500-1570) und die Paduaner Schule', tags='Italien	Renaissance	Kunsthandwerk; Münzen	Portrait	x	Herrschermacht	Bronze; Messing'
 number=35, yearStr='1550', year=1550, x=1876, y=322, name='035 - Med 30', artist='Hans Jürgen Spinnrad (ca. 1500-1559) zugeschrieben', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Blei'
 number=36, yearStr='1550', year=1550, x=1664, y=451, name='036 - Bro 40', artist='Florenz', tags='Italien	Manierismus	Skulptur; Statuette	Akt	x	x	Bronze'
 number=37, yearStr='1569', year=1569, x=1760, y=559, name='037 - GG 698', artist='Ludger tom Ring d. J. (1522-1584)', tags='Deutschland; Braunschweig	Renaissance	Malerei	Portrait	x	x	Holz'
 number=37, yearStr='1569', year=1569, x=1760, y=559, name='037 - GG 699', artist='Ludger tom Ring d. J. (1522-1584)', tags='Deutschland; Braunschweig	Renaissance	Malerei	Portrait	x	x	Holz'
 number=38, yearStr='1577', year=1577, x=1645, y=889, name='038 - Maj 53', artist='Florenz', tags='Italien	Renaissance	Kunsthandwerk; Keramik	Landschaft	x	Tafelkultur	Porzellan; Medici-Porzellan'
 number=39, yearStr='1580', year=1580, x=1838, y=480, name='039 - Bro 142', artist='Augsburg', tags='Deutschland	Renaissance	Skulptur; Statuette	Tier	x	x	Bronze'
 number=39, yearStr='1580', year=1580, x=1838, y=480, name='039 - Bro 154', artist='Augsburg', tags='Deutschland	Renaissance	Skulptur; Statuette	Tier	x	x	Bronze'
 number=39, yearStr='1580', year=1580, x=1838, y=480, name='039 - Bro 162', artist='Augsburg', tags='Deutschland	Renaissance	Skulptur; Statuette	Tier	x	x	Bronze'
 number=39, yearStr='1580', year=1580, x=1838, y=480, name='039 - Bro 226', artist='Augsburg', tags='Deutschland	Renaissance	Skulptur; Statuette	Tier	x	x	Bronze'
 number=40, yearStr='1575', year=1575, x=1567, y=311, name='040 - Lim 125', artist='Umkreis des Léonard Limosin (um 1505-1575)', tags='Frankreich	Renaissance	Kunsthandwerk	Mythologie	x	Liebe	Email'
 number=41, yearStr='1587', year=1587, x=1700, y=311, name='041 - Bro 106', artist='Giovanni da Bologna, gen. Giambologna (1529-1608)', tags='Italien	Manierismus	Skulptur; Statuette	Akt; Mythologie	x	x	Bronze'
 number=42, yearStr='1592', year=1592, x=0, y=0, name='042 - KK 9388', artist='Annibale Carracci (1560-1609)', tags='Italien	Renaissance	Graphik; Druckgraphik	Akt; Mythologie	x	Liebe	x'
 number=43, yearStr='1589', year=1589, x=1877, y=379, name='043 - Wac 146', artist='Heinrich Rappost d. Ä. (gest. 1592)', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Wachs; Messing'
 number=44, yearStr='1596', year=1596, x=1991, y=324, name='044 - Waf 4', artist='Unbekannter Künstler', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk; Waffen	x	x	Freizeit	Eisen; Holz; Stahl'
 number=45, yearStr='1600', year=1600, x=1882, y=577, name='045 - Uhr 77', artist='Christoph Rohr (nachweisbar 1582-1601)', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk; Uhren; Goldschmiedearbeiten	x	x	x	Bronze; Eisen; Messing; Tierhaut; Stahl'
 number=46, yearStr='1602', year=1602, x=1790, y=406, name='046 - GG 174', artist='Joachim Anthonisz. Wtewael (1566-1638)', tags='Niederlande	Manierismus	Malerei	Akt; Mythologie	Farbe; Perspektive	Liebe	Kupfer'
 number=47, yearStr='1602', year=1602, x=1536, y=528, name='047 - Moe 80', artist='Augsburg', tags='Deutschland	Renaissance	Kunsthandwerk; Reisealtar	Bibel	x	x	Holz; Kupfer; Silber'
 number=48, yearStr='1602', year=1602, x=1725, y=394, name='048 - GG 1088', artist='Hans von Aachen (1551/52-1615)', tags='Deutschland	Manierismus	Malerei	Akt; Mythologie	Licht	x	Kupfer'
 number=49, yearStr='1604', year=1604, x=1633, y=311, name='049 - Bro 178', artist='Adriaen de Vries (um 1556-1626)', tags='Deutschland; Braunschweig	Renaissance	Skulptur; Statuette	x	x	Herrschermacht	Bronze'
 number=50, yearStr='1613', year=1613, x=1877, y=415, name='050 - 668_6_a', artist='Heinrich Rappost d. J. (gest. 1616)', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=50, yearStr='1613', year=1613, x=1877, y=415, name='050 - 668_6_b', artist='Heinrich Rappost d. J. (gest. 1616)', tags='Deutschland; Braunschweig	Renaissance	Kunsthandwerk; Medaillen	Portrait	x	Herrschermacht	Silber'
 number=51, yearStr='1604', year=1604, x=1334, y=538, name='051 - GG 852', artist='Adam Elsheimer (1578-1610)', tags='Deutschland	Barock	Malerei	Akt; Bibel	x	Tod	Kupfer'
 number=52, yearStr='1606', year=1606, x=1346, y=479, name='052 - GG 550', artist='Adam Elsheimer (1578-1610)', tags='Deutschland	Barock	Malerei	Landschaft	Licht	x	Kupfer'
 number=53, yearStr='1610', year=1610, x=0, y=0, name='053 - KK 5718', artist='Federico Barocci (1535-1612)', tags='Italien	Barock	Graphik; Zeichnung	Portrait	x	x	x'
 number=54, yearStr='1613', year=1613, x=1423, y=681, name='054 - GG 805', artist='Orazio Gentileschi (1563-1639)', tags='Italien	Barock	Malerei	Akt; Bibel	x	x	x'
 number=55, yearStr='1601', year=1601, x=0, y=0, name='055 - KK 91', artist='Peter Paul Rubens (1577-1640)', tags='Niederlande	Barock	Graphik; Zeichnung	Akt; Bibel	x	x	x'
 number=56, yearStr='1615', year=1615, x=1407, y=614, name='056 - Moe 86', artist='Augsburg', tags='Deutschland	Barock	Kunsthandwerk; Kassetten	Akt	x	x	Holz; Edelstein'
 number=57, yearStr='1617', year=1617, x=1344, y=393, name='057 - GG 87', artist='Peter Paul Rubens (1577-1640)', tags='Niederlande	Barock	Malerei	Bibel	x	Liebe; Tod	Holz'
 number=58, yearStr='1650', year=1650, x=1203, y=432, name='058 - Bro 123', artist='Umkreis Artus Quellinus d. Ä. (1609-1668)', tags='Niederlande	Barock	Skulptur; Portraitkopf	Portrait	x	x	Bronze'
 number=59, yearStr='1618', year=1618, x=1334, y=603, name='059 - GG L 1', artist='Peter Paul Rubens (1577-1640)', tags='Niederlande	Barock	Malerei	Bibel	x	x	Holz'
 number=60, yearStr='1622', year=1622, x=1516, y=393, name='060 - GG 797', artist='Bernardo Strozzi (1581/82-1644)', tags='Italien	Barock	Malerei	Heilige	Farbe; Licht	x	x'
 number=61, yearStr='1635', year=1635, x=0, y=0, name='061 - KK 4873', artist='Jacques Callot (1592-1635)', tags='Frankreich	Barock	Graphik; Druckgraphik	Heilige	x	x	x'
 number=62, yearStr='1644', year=1644, x=1115, y=558, name='062 - GG 140', artist='David Teniers d. J. (1610-1690)', tags='Niederlande	Barock	Malerei	Genre; Interieur	x	Wissenschaft	Holz'
 number=63, yearStr='1643', year=1643, x=1476, y=565, name='063 - Hol 9', artist='Leonhard Kern (1588-1663)', tags='Deutschland	Barock	Skulptur; Statuette	Akt; Bibel	x	x	Holz'
 number=64, yearStr='1647', year=1647, x=1436, y=889, name='064 - Bro 200', artist='Caspar von Turckelstein (1579-1648)', tags='Deutschland	Barock	Skulptur; Statuette	Akt; Bibel	x	x	Bronze'
 number=65, yearStr='1660', year=1660, x=1614, y=660, name='065 - GG 477', artist='Pier Francesco Mola (1612-1666)', tags='Italien	Barock	Malerei	Mythologie	Licht	Liebe	x'
 number=66, yearStr='1703', year=1703, x=1326, y=672, name='066 - Elf 80', artist='Gabriel Grupello (1644-1730)', tags='Niederlande	Barock	Skulptur; Statuette	Akt; Bibel	x	Tod	Holz; Elfenbein'
